Time (s),Altitude (m),Velocity (m/s),Velocity Magnitude (m/s),Accel <Z> (rad/s)
5.575000000000235545e+00,1.851129428947731640e+03,4.091362209661107840e+02,4.092154850714698000e+02,-3.625533295811960244e+01
5.577500000000235936e+00,1.852152218050638794e+03,4.090455895692404624e+02,4.091248299548714158e+02,-3.624315287767034022e+01
5.580000000000236327e+00,1.853174780592337811e+03,4.089549886128807543e+02,4.090342051852869076e+02,-3.623098521490048540e+01
5.582500000000236717e+00,1.854197116648912242e+03,4.088644180657306606e+02,4.089436107436664543e+02,-3.621883021746349129e+01
5.585000000000237108e+00,1.855219226296319221e+03,4.087738778704530205e+02,4.088530466066044369e+02,-3.620668807617710172e+01
5.587500000000237499e+00,1.856241109610467447e+03,4.086833680183427759e+02,4.087625127589123508e+02,-3.619455822214882801e+01
5.590000000000237890e+00,1.857262766667208780e+03,4.085928884872491835e+02,4.086720091831453487e+02,-3.618244107278612631e+01
5.592500000000238281e+00,1.858284197542338688e+03,4.085024392355189775e+02,4.085815358586041839e+02,-3.617033667790235540e+01
5.595000000000238671e+00,1.859305402311531225e+03,4.084120202547287590e+02,4.084910927701779428e+02,-3.615825373931954090e+01
5.597500000000239062e+00,1.860326381050417012e+03,4.083216314735245760e+02,4.084006798922228541e+02,-3.614617736942249593e+01
5.600000000000239453e+00,1.861347133834485930e+03,4.082312728795166095e+02,4.083102972089864693e+02,-3.613410756898131382e+01
5.602500000000239844e+00,1.862367660739196481e+03,4.081409444534601789e+02,4.082199447035769140e+02,-3.612204433007245541e+01
5.605000000000240234e+00,1.863387961839988066e+03,4.080506462053824634e+02,4.081296223640167113e+02,-3.611000225545057418e+01
5.607500000000240625e+00,1.864408037212251429e+03,4.079603780333154646e+02,4.080393301595690900e+02,-3.609797275152028107e+01
5.610000000000241016e+00,1.865427886931172679e+03,4.078701399370378908e+02,4.079490680765474622e+02,-3.608595583271203822e+01
5.612500000000241407e+00,1.866447511071904955e+03,4.077799318708935061e+02,4.078588360936407184e+02,-3.607395098449010362e+01
5.615000000000241798e+00,1.867466909709461561e+03,4.076897537813210874e+02,4.077686341881879457e+02,-3.606195805257586073e+01
5.617500000000242188e+00,1.868486082918812599e+03,4.075996056643386396e+02,4.076784623458746069e+02,-3.604997741043378312e+01
5.620000000000242579e+00,1.869505030774872239e+03,4.075094874897638419e+02,4.075883205479695448e+02,-3.603800846364853072e+01
5.622500000000242970e+00,1.870523753352479844e+03,4.074193992279550116e+02,4.074982087758234002e+02,-3.602605165938745557e+01
5.625000000000243361e+00,1.871542250726390193e+03,4.073293408383489123e+02,4.074081270089105828e+02,-3.601410657298482931e+01
5.627500000000243752e+00,1.872560522971276441e+03,4.072393123016004211e+02,4.073180752303080681e+02,-3.600217294280172098e+01
5.630000000000244142e+00,1.873578570161754214e+03,4.071493135888885604e+02,4.072280534214659156e+02,-3.599025098228091935e+01
5.632500000000244533e+00,1.874596392372367063e+03,4.070593446713337471e+02,4.071380615638086624e+02,-3.597834040525136601e+01
5.635000000000244924e+00,1.875613989677586687e+03,4.069694055206526855e+02,4.070480996388462813e+02,-3.596644103408537774e+01
5.637500000000245315e+00,1.876631362151814756e+03,4.068794961089283788e+02,4.069581676281345608e+02,-3.595455275956657459e+01
5.640000000000245706e+00,1.877648509869382451e+03,4.067896164085196347e+02,4.068682655132585069e+02,-3.594267557387068734e+01
5.642500000000246096e+00,1.878665432904552517e+03,4.066997663917790078e+02,4.067783932757828325e+02,-3.593080932698087082e+01
5.645000000000246487e+00,1.879682131331518804e+03,4.066099460319123295e+02,4.066885508974020809e+02,-3.591895356112330973e+01
5.647500000000246878e+00,1.880698605224408311e+03,4.065201553028251737e+02,4.065987383599149894e+02,-3.590710817761865314e+01
5.650000000000247269e+00,1.881714854657283468e+03,4.064303941784494896e+02,4.065089556451060844e+02,-3.589527329487218310e+01
5.652500000000247660e+00,1.882730879704141216e+03,4.063406626328026050e+02,4.064192027347554017e+02,-3.588344866069289907e+01
5.655000000000248050e+00,1.883746680438913700e+03,4.062509606405335489e+02,4.063294796107360298e+02,-3.587163401368015059e+01
5.657500000000248441e+00,1.884762256935470305e+03,4.061612881772014703e+02,4.062397862550674859e+02,-3.585982889030508858e+01
5.660000000000248832e+00,1.885777609267619709e+03,4.060716452191463191e+02,4.061501226498942287e+02,-3.584803794012785261e+01
5.662500000000249223e+00,1.886792737509095787e+03,4.059820317147118658e+02,4.060604887491805357e+02,-3.583627367857577184e+01
5.665000000000249614e+00,1.887807641733501214e+03,4.058924476167730404e+02,4.059708845106221133e+02,-3.582451820696969946e+01
